match_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,labellabel,avg_performane_of_main_home_players,avg_performane_of_all_home_players,avg_performane_of_main_away_players,avg_performane_of_all_away_players
493017,8203,9987,2,1,Win,67.24159973359974,63.88384403475312,70.88003220611917,67.67851391764435
493025,9984,8342,1,3,Defeat,68.4258064516129,65.82988250752182,71.0582546583851,69.92307735742519
493027,8635,10000,2,0,Win,74.67115137115137,71.82460207238427,68.14839544513457,66.00820453346029
493034,8203,8635,2,1,Win,68.1031381951382,64.46076711167619,74.67115137115137,71.44992826698156
493040,10000,9999,0,0,Draw,68.14839544513457,66.26622592383461,66.90126984126985,62.50815295815296
493045,9991,10000,1,0,Win,71.5467131967132,68.87707894071531,68.14839544513457,65.70337047862623
493048,9999,8203,1,0,Win,66.90126984126985,62.72027417027418,68.1031381951382,64.46076711167619
493061,8635,8342,1,0,Win,74.97243342243341,72.17207766442507,70.79793719806764,69.5386284729763
493062,9999,9987,1,0,Win,66.90126984126985,62.593001443001455,70.14669887278583,67.59561348474392
493080,9984,9987,1,2,Defeat,67.7358064516129,65.48594311358241,69.70291005291006,67.27376142376143
493082,9999,9991,1,3,Defeat,66.96793650793651,62.41118326118326,71.5667131967132,68.89596422210059
493089,10000,9985,0,0,Draw,68.14839544513457,66.09478462004037,74.90117554858935,72.14449849158497
493092,9991,9984,2,1,Win,70.67506817506816,67.65413286505184,66.32,64.66512199921291
493094,10001,9999,1,0,Win,67.47333333333333,65.1810397935398,66.76793650793651,62.35663780663781
493097,9985,8342,2,0,Win,75.36117554858934,71.6566197037062,71.19634989648031,69.16811981496764
493103,8635,9999,3,1,Win,74.76312606312607,71.77473529664792,66.90126984126985,63.1505772005772
493105,9984,10001,2,1,Win,66.9908064516129,64.68291281055211,67.47333333333333,65.1810397935398
493106,9987,8635,0,2,Defeat,68.93111111111111,66.59718614718615,74.97243342243341,72.17207766442507
493107,9991,9985,0,1,Defeat,71.11649674649674,68.40808543422179,76.41617554858934,71.8937409158274
665321,9984,9991,1,3,Defeat,66.575,64.77875836284927,69.06223443223443,67.38216393821232
665322,9994,10000,1,1,Draw,67.55743589743591,65.59983047255774,68.14839544513457,65.64781492307067
665323,8571,8635,0,2,Defeat,66.89691158514687,63.521323447794025,75.84520774955556,73.07545993432907
665411,8342,8635,4,2,Win,71.80587370600415,69.9060210803689,75.21187441622223,72.44874909188934
665417,8203,9994,2,0,Win,68.35312820512821,65.065012361376,66.9188811188811,64.93738265987068
665421,9993,10001,3,1,Win,68.33333333333333,65.83647909577054,65.65324675324675,63.75577644046544
665425,8342,9991,1,0,Win,71.80587370600415,70.2041920760399,69.59963702963702,68.17135959104434
665427,9987,8203,1,2,Defeat,71.06648148148149,68.26182058682059,68.35312820512821,64.9531242494879
665429,10000,9993,4,0,Win,68.2552919968587,65.57194539030458,68.33333333333333,65.83647909577054
665430,9994,9984,1,1,Draw,67.9174358974359,65.69629511902238,68.10021739130434,65.18112990435125
665435,10001,9985,2,0,Win,66.56587615283266,64.56551570958686,73.685,70.69149831649831
665438,9985,10000,1,1,Draw,74.08,70.63441003441004,68.2552919968587,65.82996678067892
665443,9984,8571,1,1,Draw,65.875,64.02031680440773,70.14770523594053,66.44768118096997
665445,8203,8635,0,2,Defeat,68.35312820512821,64.9531242494879,76.8708487751966,73.0868791993298
665536,8635,9994,2,0,Win,75.51700262135043,72.50836327081386,67.69448551448552,65.57941587917664
665541,9991,9993,0,1,Defeat,69.95799480089802,68.2445972038714,67.88511904761904,65.5631152047596
665543,8571,8203,2,0,Win,70.14770523594053,67.0941458274346,68.35312820512821,64.9531242494879
665548,9985,8342,3,1,Win,75.51272727272728,71.51383866886259,72.13693431206475,69.87525216374728
665554,9984,10001,2,1,Win,66.15833333333333,64.20341401023221,66.56587615283266,64.52125733638111
665556,9994,8571,0,0,Draw,67.370675990676,65.67558637534712,70.14770523594053,67.0941458274346
665570,8635,9999,3,1,Win,76.38879749314532,73.13613836927861,64.53333333333333,62.00974025974026
665574,10000,8203,4,1,Win,68.2552919968587,65.43905768976983,68.35312820512821,64.85458390094755
665575,9991,9985,2,1,Win,69.59963702963702,67.93359889451789,75.31272727272727,71.59260201078382
665586,8635,8571,1,0,Win,74.8836692880171,72.18592857906883,70.13305322128852,67.08748582077459
665591,9991,9984,3,1,Win,69.69803275156215,68.33428644226424,66.15833333333333,64.01252678298134
665596,9993,9999,3,0,Win,68.09047619047618,66.20986845151285,65.89777777777779,62.62994227994229
665598,9985,9993,2,2,Draw,75.27853372434018,72.43766554939576,68.09047619047618,66.20986845151285
665603,9984,8635,1,3,Defeat,66.315,64.63027351436442,75.21187441622223,72.33511272825298
665604,9994,8342,0,1,Defeat,66.44615384615383,65.00980266410888,71.38931526444568,70.08379770317516
665619,10000,9984,1,0,Win,68.33624437781108,66.320875871588,66.75999999999999,64.89328239100966
665626,8635,8342,3,2,Win,76.38879749314532,73.18328746852578,72.13693431206475,70.46781646219392
665632,9994,9991,0,1,Defeat,66.44615384615383,65.00980266410888,69.64093597736861,68.0583992392382
665633,8571,10001,1,1,Draw,68.67151475975007,66.46607944936822,65.63730472426124,63.72119752776868
665634,8203,9993,1,0,Win,67.0147155067155,64.45670551670551,68.52783882783883,66.68572592737031
665326,8342,9994,2,0,Win,71.05999780412824,69.36783137197865,67.55743589743591,65.58822843822844
665327,8635,9984,3,2,Win,75.84520774955556,73.13823049709964,67.27833333333334,64.69455922865015
665329,10000,9987,2,2,Draw,68.33624437781108,66.25701032536952,72.34852408799777,68.01772739930635
665330,9991,8203,2,1,Win,68.8321645021645,67.30875552844027,67.1147155067155,65.11196540832906
665332,10001,8571,1,1,Draw,65.71991341991341,63.33921503138011,67.09019607843138,63.93872549019607
665333,9993,9985,1,1,Draw,68.8736111111111,66.76867606546752,76.41617554858934,71.96184367012562
665639,8342,9984,2,1,Win,72.23102955015999,70.5602587421362,66.75999999999999,64.76015566924657
665641,9985,9994,2,0,Win,75.11353372434017,70.94961193634214,66.21706293706293,64.4179611722674
665647,9991,8635,2,2,Draw,69.28257820610762,67.7637895478543,76.38879749314532,73.18328746852578
665653,8635,10000,2,1,Win,75.22753623188406,72.53997644590441,68.2552919968587,66.12194539030457
665655,9984,9985,2,0,Win,66.75999999999999,64.76232017141109,74.88772727272728,71.03782856785249
665657,9994,9993,2,0,Win,66.76554778554778,64.98132205381008,68.802442002442,66.53348927513366
665659,8571,8342,1,4,Defeat,70.13305322128852,66.48575421904299,72.13693431206475,70.423624543002
665666,9985,8635,0,4,Defeat,75.11353372434017,71.64083182756202,76.38879749314532,73.18328746852578
665672,9993,9984,1,4,Defeat,68.54186507936507,66.41504521918961,67.62521739130435,65.1860120592334
665674,9987,8342,2,0,Win,71.9381537176274,68.04807852965747,72.06793431206475,70.16715268153014
665675,10000,9997,2,0,Win,68.2552919968587,65.67497569333489,67.98548215069954,65.63871122290095
665679,9994,9999,1,4,Defeat,67.88853629129491,65.61803400086684,63.47279259529898,61.4588451190753
665680,8571,9993,3,0,Win,69.24798534798535,66.32430069930071,68.09047619047618,66.0957864550779
665681,8203,9985,0,0,Draw,66.56680341880342,64.4496126096126,75.73853372434017,72.45522576695596
665686,9985,8571,3,1,Win,75.78198200020225,72.45982346810538,69.0286576168929,65.13148348977226
665687,9997,10001,0,1,Defeat,67.98354978354979,65.54600550964189,66.15548654244306,64.26285513252436
665689,9991,10000,0,2,Defeat,69.95799480089802,67.99042818448498,68.2552919968587,66.12194539030457
665695,9993,8635,0,5,Defeat,67.32797619047619,65.65936340100778,76.38879749314532,73.29692383216214
665698,8635,9997,1,2,Defeat,76.86059236494017,73.48614612502081,67.98354978354979,65.43856749311296
665699,9987,9985,1,0,Win,72.78709551656921,69.7326624642414,76.41617554858934,72.52441838697801
665700,10000,8342,1,1,Draw,68.2552919968587,65.29272461108381,71.95820346320346,69.81523678341858
665702,9984,9999,2,0,Win,65.445,64.16196925969653,63.47279259529898,61.4588451190753
665704,9994,8203,2,1,Win,68.64856060606061,66.67679858020767,67.00969386169386,64.73018052654416
